PRACTICE_CODE,tot_patients_per_PRACTICE_CODE,Practice_code_weighted_tot_of_Parks only - Index of Multiple Deprivation rank (country specific),Practice_code_weighted_tot_of_Parks only - Index of Multiple Deprivation decile (country specific),Practice_code_weighted_tot_of_Parks only - Average distance to nearest Park or Public Garden (m),Practice_code_weighted_tot_of_Parks only - Average size of nearest Park or Public Garden (m2),"Practice_code_weighted_tot_of_Parks only - Average number of Parks or Public Gardens within 1,000 m radius","Practice_code_weighted_tot_of_Parks only - Average combined size of Parks or Public Gardens within 1,000 m radius (m2)",Practice_code_weighted_tot_of_Parks only - Number of postcodes within built up area,Practice_code_weighted_tot_of_Parks only - Number of built up area postcodes  within 300m of a Park or Public Garden (percentage),Practice_code_weighted_tot_of_Parks only - Number of built up area postcodes  within 300m of a Park or Public Garden,Practice_code_weighted_tot_of_Parks only - Number of built up area postcodes  within 900m of a Park or Public Garden (percentage),Practice_code_weighted_tot_of_Parks only - Number of built up area postcodes  within 900m of a Park or Public Garden,Practice_code_weighted_tot_of_Parks and Playing Fields - Index of Multiple Deprivation rank (country specific),Practice_code_weighted_tot_of_Parks and Playing Fields - Index of Multiple Deprivation decile (country specific),Practice_code_weighted_tot_of_Parks and Playing Fields - Average distance to nearest Park Public Garden or Playing Field (m),Practice_code_weighted_tot_of_Parks and Playing Fields - Average size of nearest Park Public Garden or Playing Field (m2),"Practice_code_weighted_tot_of_Parks and Playing Fields - Average number of  Parks Public Gardens or Playing Fields within 1,000 m radius","Practice_code_weighted_tot_of_Parks and Playing Fields - Average combined size of  Parks Public Gardens or Playing Fields within 1,000 m radius (m2)",Practice_code_weighted_tot_of_Parks and Playing Fields - Number of postcodes within built up area,Practice_code_weighted_tot_of_Parks and Playing Fields - Number of built up area postcodes  within 300m of a Park Public Garden or Playing Field,Practice_code_weighted_tot_of_Parks and Playing Fields - Number of built up area postcodes  within 300m of a Park Public Garden or Playing Field (percentage),Practice_code_weighted_tot_of_Parks and Playing Fields - Number of built up area postcodes  within 900m of a Park Public Garden or Playing Field,Practice_code_weighted_tot_of_Parks and Playing Fields - Number of built up area postcodes  within 900m of a Park Public Garden or Playing Field (percentage)
A81001,4175,13864,5,660,156485,2,226989,59,0.23,12,0.73,44,13864,5,486,87924,4,280781,59,20,0.35,54,0.86
A81002,19617,12571,4,675,259580,2,406606,50,0.21,9,0.73,33,12571,4,455,109724,4,419448,50,18,0.38,45,0.88
A81003,3470,6417,3,684,84542,1,117318,51,0.20,10,0.70,35,6417,3,503,65551,3,165705,51,17,0.36,43,0.86
A81004,9078,11599,4,939,98122,2,184542,51,0.26,15,0.57,32,11599,4,454,87945,4,269883,51,23,0.45,45,0.87
A81005,7918,21247,7,624,30089,1,39532,44,0.19,9,0.82,37,21247,7,317,41325,3,113379,44,26,0.60,44,0.99
A81006,12204,11449,4,639,309702,2,496985,52,0.22,10,0.76,35,11449,4,428,132649,4,505325,52,19,0.40,48,0.91
A81007,9520,10719,4,638,90003,1,142309,47,0.22,11,0.77,35,10719,4,492,71090,3,190358,47,17,0.38,40,0.87
A81008,4127,4539,2,775,88879,2,129218,59,0.19,9,0.64,33,4539,2,250,42737,5,225745,59,38,0.67,59,1.00
A81009,9249,10279,4,762,93429,2,196466,46,0.29,13,0.68,32,10279,4,383,78423,4,299534,46,23,0.52,43,0.92
A81011,11212,9452,3,632,88976,1,130598,48,0.23,11,0.77,36,9452,3,469,69568,3,185601,48,18,0.40,41,0.88
A81012,4727,5716,2,652,151965,2,228077,49,0.24,12,0.79,40,5716,2,362,77849,4,319397,49,24,0.50,47,0.96
A81013,6027,10936,4,1423,74182,1,77689,40,0.11,6,0.27,14,10936,4,263,19275,4,65559,40,27,0.69,40,1.00
A81014,3777,15501,5,521,607437,2,1015457,41,0.28,12,0.88,36,15501,5,334,272480,4,1078204,41,24,0.56,39,0.97
A81015,3002,13801,5,717,48429,2,91376,48,0.21,10,0.68,33,13801,5,357,70738,4,199063,48,22,0.47,47,0.98
A81016,9592,7153,3,619,106433,3,241242,49,0.39,19,0.77,39,7153,3,346,80016,4,315004,49,27,0.57,47,0.94
A81017,21234,18497,6,1242,87339,1,87627,39,0.04,2,0.28,14,18497,6,628,68005,3,114847,39,14,0.29,30,0.73
