PRACTICE_CODE,ORG_NAME,tot_patients_per_PRACTICE_CODE,Practice_code_weighted_tot_of_Index of Multiple Deprivation (IMD),Practice_code_weighted_tot_of_Income,Practice_code_weighted_tot_of_Employment,"Practice_code_weighted_tot_of_Education, Skills and Training",Practice_code_weighted_tot_of_Health Deprivation and Disability,Practice_code_weighted_tot_of_Crime,Practice_code_weighted_tot_of_Barriers to Housing and Services,Practice_code_weighted_tot_of_Living Environment
A81001,THE DENSHAM SURGERY,4175,14895,13470,11203,15717,10760,15994,21496,23432
A81002,QUEENS PARK MEDICAL CENTRE,19617,13487,12514,10175,13778,9404,15898,21865,26997
A81003,THE HEALTH CENTRE,3470,7148,6490,4879,8964,4532,11651,25946,23808
A81004,WOODLANDS ROAD SURGERY,9078,11550,11586,10513,11893,6970,10529,19801,20945
A81005,SPRINGWOOD SURGERY,7918,20876,19366,17489,21809,14629,19846,22107,28146
A81006,TENNANT STREET MEDICAL PRACTICE,12204,12259,11503,9309,12514,8373,15168,21641,26895
A81007,BANKHOUSE SURGERY,9520,11552,10795,8426,13595,7164,15220,25271,25390
A81008,ALBERT HOUSE CLINIC,4127,4955,4991,3756,5079,3165,6200,23645,28637
A81009,VILLAGE MEDICAL CENTRE,9249,10470,10481,9368,11480,6535,9525,21035,21437
A81011,CHADWICK PRACTICE,11212,10227,9452,7287,11974,6362,14398,25310,25578
A81012,WESTBOURNE MEDICAL CENTRE,4727,5867,5936,5202,6437,3778,6657,19062,22612
A81013,BROTTON SURGERY,6027,11264,10479,7231,11852,6878,19227,27655,25764
A81014,QUEENSTREE PRACTICE,3777,15724,15861,12250,14859,10492,19397,20822,28153
A81015,LAGAN SURGERY,3002,15159,14151,11602,15740,9118,18842,25623,25535
A81016,PARK SURGERY,9592,7229,7390,7012,7827,4652,7055,19513,18275
A81017,WOODBRIDGE PRACTICE,21234,18733,18477,17496,19380,12502,23290,15683,28375
A81018,BENTLEY MEDICAL PRACTICE,5416,11351,10402,8402,11883,7028,16277,24366,26032
A81019,CROSSFELL HEALTH CENTRE,10499,5712,5817,4730,6082,3677,7036,19617,25222
A81020,MARTONSIDE MEDICAL CENTRE,7923,12869,13267,11326,13632,7974,12385,18464,25584
A81021,NORMANBY MEDICAL CENTRE,13351,10889,11437,8399,10775,6494,10957,22706,29155
A81022,HILLSIDE PRACTICE,10754,11372,10098,7333,12171,7501,17771,25295,24879
A81023,THE ENDEAVOUR PRACTICE,7713,6470,6640,6251,7038,4133,6839,18613,19573
A81025,THE DOVECOT SURGERY,4207,12403,11259,9418,12933,8715,14999,21595,24364
A81026,THE LINTHORPE SURGERY,13622,9692,9656,8613,10615,6003,9109,20687,21679
A81027,YARM MEDICAL PRACTICE,12914,26896,25389,23907,27738,21156,27132,18426,29253
A81029,PROSPECT SURGERY,5762,5862,6027,5879,6153,3828,6293,18637,17579
A81030,BOROUGH ROAD & NUNTHORPE MEDICAL GROUP,11833,15624,15859,13837,16224,9594,14890,18327,25194
A81031,HAVELOCK GRANGE PRACTICE,12654,10274,9632,7475,12081,6434,14339,25039,25717
