PRACTICE_CODE,ORG_NAME,tot_patients_per_PRACTICE_CODE,Practice_code_weighted_tot_of_Total annual income (£),Practice_code_weighted_tot_of_Net annual income (£),Practice_code_weighted_tot_of_Net annual income before housing costs (£),Practice_code_weighted_tot_of_Net annual income after housing costs (£)
A81001,THE DENSHAM SURGERY,4175,37922,29589,27823,25411
A81002,QUEENS PARK MEDICAL CENTRE,19617,36878,29163,27258,24776
A81003,THE HEALTH CENTRE,3470,32075,25936,25516,22300
A81004,WOODLANDS ROAD SURGERY,9078,35789,27369,25848,23477
A81005,SPRINGWOOD SURGERY,7918,43244,32640,30649,27859
A81006,TENNANT STREET MEDICAL PRACTICE,12204,36440,28878,27006,24359
A81007,BANKHOUSE SURGERY,9520,34230,27386,26722,23593
A81008,ALBERT HOUSE CLINIC,4127,33515,27605,26209,22193
A81009,VILLAGE MEDICAL CENTRE,9249,36446,28270,26204,23577
A81011,CHADWICK PRACTICE,11212,33521,26930,26307,23176
A81012,WESTBOURNE MEDICAL CENTRE,4727,32437,25566,24634,21282
A81013,BROTTON SURGERY,6027,33697,27411,26357,23773
A81014,QUEENSTREE PRACTICE,3777,37423,29114,27965,24834
A81015,LAGAN SURGERY,3002,35419,27949,27508,25375
A81016,PARK SURGERY,9592,33634,25967,24548,21695
A81017,WOODBRIDGE PRACTICE,21234,45307,33686,30764,28491
A81018,BENTLEY MEDICAL PRACTICE,5416,33728,26926,26547,24166
A81019,CROSSFELL HEALTH CENTRE,10499,32097,25774,24852,21095
A81020,MARTONSIDE MEDICAL CENTRE,7923,38082,29584,27584,25103
A81021,NORMANBY MEDICAL CENTRE,13351,34334,28052,26928,22989
A81022,HILLSIDE PRACTICE,10754,35222,28065,26681,24345
A81023,THE ENDEAVOUR PRACTICE,7713,32829,25500,24292,21371
A81025,THE DOVECOT SURGERY,4207,36721,28828,27098,24400
A81026,THE LINTHORPE SURGERY,13622,35779,27778,25944,23252
A81027,YARM MEDICAL PRACTICE,12914,48842,35586,33429,32475
A81029,PROSPECT SURGERY,5762,32017,24733,23659,20714
A81030,BOROUGH ROAD & NUNTHORPE MEDICAL GROUP,11833,38524,29485,27568,25205
A81031,HAVELOCK GRANGE PRACTICE,12654,33519,26945,26332,23172
A81032,THE GARTH,10477,41445,31643,29855,26955
A81033,OAKFIELD MEDICAL PRACTICE,3469,32954,25936,24901,21561
A81034,THORNABY & BARWICK MEDICAL GROUP,21676,43724,32710,30113,27713
A81035,NEWLANDS MEDICAL CENTRE,10696,33513,26088,24775,21950
A81036,NORTON MEDICAL CENTRE,17283,37102,29019,27574,25016
A81037,THE ERIMUS PRACTICE,7176,32610,25348,24039,21140
A81038,HIRSEL MEDICAL CENTRE,3340,31503,24668,23769,20711
A81039,EAGLESCLIFFE MEDICAL PRACTICE,8955,46058,33935,31166,29545
A81040,MARSH HOUSE MEDICAL PRACTICE,8547,37151,28890,27857,24499
A81041,HART MEDICAL PRACTICE,9091,34471,27501,26311,23079
A81042,SOUTH GRANGE MEDICAL CENTRE,5997,32692,26974,25781,21711
A81043,THE MANOR HOUSE SURGERY,7965,34433,28086,27233,23200
A81044,MCKENZIE HOUSE SURGERY,14149,34430,27553,26753,23695
A81045,THE COATHAM ROAD SURGERY,7548,34753,27495,27239,24979
A81046,WOODLANDS FAMILY MEDICAL CENTRE,12898,37382,29365,27454,24932
A81047,MARSKE MEDICAL CENTRE,5710,39147,30222,29586,28429
A81048,ZETLAND MEDICAL PRACTICE,5053,39325,30300,29596,28451
A81049,KINGS MEDICAL CENTRE,5466,32441,25692,24743,21295
A81051,CAMBRIDGE MEDICAL GROUP,7445,38096,29372,27120,24804
A81052,THE GREEN HOUSE SURGERY,7328,34487,27395,26963,24706
A81053,WOODSIDE SURGERY,6602,31214,25619,24921,22138
A81054,THE SALTSCAR SURGERY,7942,34296,27223,26959,24634
A81056,MELROSE SURGERY,2583,36972,28824,27775,24579
A81057,KINGSWAY MEDICAL CENTRE,8708,36427,28474,27418,24288
A81058,COULBY MEDICAL PRACTICE,7505,38922,30356,28625,26166
A81060,THE KOH PRACTICE,5329,34297,27442,26647,23536
A81063,THE HEADLAND MEDICAL CENTRE,5317,32841,26587,25675,22396
A81064,THE DISCOVERY PRACTICE,6260,33604,25935,24649,21905
A81065,THE ESTON SURGERY,3360,31947,26395,25373,21267
A81066,PARK LANE SURGERY,4194,47031,35941,32173,30819
A81067,ALMA MEDICAL CENTRE,10554,33981,27079,25609,22552
A81069,RAINBOW SURGERY,1584,33977,27049,26758,24353
